HoV,MIXP,MIXT,AMBP,AMBT,Density(kg/mÂ³),CAOLH_SumFlow,CAORH_SumFlow,LAOLH_SumFlow,LAORH_SumFlow,TZ3_Flow,LAO_330_FM,LAO_332_FM,LAO_334_FM,LAO_331_FM,LAO_333_FM,LAO_335_FM,LAO_330_FP2,LAO_332_FP2,LAO_334_FP2,LAO_331_FP2,LAO_333_FP2,LAO_335_FP2,R300_HD,R310_HS1,R311_HS1,R312_HS1,R313_HS1,R320_HS1,R320_HS2,R321_HS1,R321_HS2
A1,2600,293.15,101401.6,299.3866667,1.2207,144.8746072,146.2227073,73.31183787,71.57142331,435.9805757,2,0,0,2,0,0,0,1,1,0,1,1,116,60,48,128,125,113,38,113,40
A2,2600,293.15,101576.3,298.4486667,1.2228,153.1372493,144.985186,61.0779736,65.83190152,425.0323104,2,0,0,2,0,0,0,1,1,0,1,1,114,60,40,140,138,105,35,113,39
A3,2606.1928,298.1013298,102136.6035,297.109024,1.209,156.559508,160.021532,81.965312,87.345475,485.891827,2,0,0,2,0,0,0,1,1,0,1,1,124,63,51,122,120,113,39,113,40
A4,2599.8998,294.3903917,103195.6642,295.060027,1.2368,153.335489,148.015738,89.216361,80.024263,470.591851,2,0,0,0,0,0,0,1,1,1,1,1,124,55,59,120,120,113,43,113,43
A5,2600,293.15,102856.2,294.7558333,1.238,146.1977069,148.5814017,87.03034305,86.77264631,468.5820979,0,0,0,0,0,0,1,1,1,1,1,1,122,75,60,125,120,113,38,113,40
A6,2600,293.15,101325,293.15,1.2198,148.5804402,150.0237342,86.07167272,97.71994999,482.3957971,0,0,0,0,0,0,1,1,1,1,1,1,122,75,55,115,112,113,38,113,40
C1,2600,293.15,100650.4,294.1468333,1.2118,151.9353056,153.5103326,74.28493153,74.2791622,454.0097319,2,0,0,2,0,0,0,1,1,0,1,1,120,60,48,128,125,113,38,113,40
C2,2601.856275,295.7744248,100356.9848,295.465578,1.1976,154.220297,151.661954,64.696088,64.801906,435.380245,2,0,0,2,0,0,0,1,1,0,1,1,116,55,45,156,150,113,38,113,40
C3,2595.41505,297.596902,100252.7728,297.643472,1.189,153.001556,151.741944,66.260989,64.707059,435.711548,2,0,0,2,0,0,0,1,1,0,1,1,116,55,45,156,150,113,38,113,40
C4,2600,293.15,102484.2,295.5075,1.2336,151.4747207,153.6151421,69.8665863,74.34935571,449.3058049,2,0,0,2,0,0,0,1,1,0,1,1,120,66,45,139,137,113,38,113,40
C5,2600.287925,296.6471103,102114.0688,296.50707,1.2147,152.273461,152.449484,88.147681,103.520012,496.390638,0,0,0,0,0,0,1,1,1,1,1,1,126,75,55,115,112,113,38,113,40
D1,2600,293.15,101811.9,299.7163333,1.2256,152.6535871,152.580509,69.20503646,76.64843372,451.0875663,2,0,0,2,0,0,0,1,1,0,1,1,119,66,45,139,137,113,38,113,40
D2,2600,293.15,101721.3,296.5783333,1.2245,153.7247594,151.7381868,83.37451094,84.34471994,473.1821771,0,0,0,0,0,0,1,1,1,1,1,1,122,68,55,125,125,113,38,113,40
E1,2600,293.15,101327.8,296.4211667,1.2198,145.5082719,152.0805004,96.4333894,93.31506653,487.3372282,0,0,0,0,0,0,1,1,1,1,1,1,122,85,68,143,130,113,38,113,40
E2,2611.197525,296.767416,101729.8987,296.001904,1.2097,146.923685,148.110818,98.497548,101.126284,494.658335,0,0,0,0,0,0,1,1,1,1,1,1,122,85,68,143,130,113,38,113,40
F1,2600,293.15,102704.8,298.3651667,1.2362,151.5093367,150.2920081,73.97819548,74.54935915,450.3288994,2,0,0,0,0,0,0,1,1,1,1,1,118,66,45,140,138,113,40,113,40
F2,2600,293.15,101325,293.15,1.2198,151.5093367,150.2920081,73.97819548,74.54935915,450.3288994,2,0,0,0,0,0,0,1,1,1,1,1,118,66,45,140,138,113,40,113,40
F3,2600,293.15,102676.8,297.8908333,1.2358,146.0207807,147.9140825,72.28201246,73.99454192,440.2114177,2,0,0,2,0,0,0,1,1,0,1,1,122,53,43,107,102,105,35,113,39
H1,2600,293.15,101983.8,293.8178333,1.2276,145.6919289,150.5198966,70.35121002,74.61378334,441.1768189,2,0,0,2,0,0,0,1,1,0,1,1,122,55,45,112,107,113,38,113,40
J1,2597.823175,294.6601893,100891.7896,294.84009,1.2084,151.796369,152.023352,73.680658,78.364065,455.864444,2,0,0,2,0,0,0,1,1,0,1,1,120,60,48,128,125,113,38,113,40
M1,2632.9689,298.3922458,100388.3476,297.954306,1.1876,159.438776,156.286249,77.950483,81.658612,475.33412,2,0,0,2,0,0,0,1,1,0,1,1,120,70,53,145,143,113,44,113,42
P1,2605.0219,295.9199273,101100.0796,295.93329,1.2057,158.621213,155.890883,91.794305,80.796815,487.103216,2,0,0,0,0,0,0,1,1,1,1,1,124,58,59,120,120,113,43,113,43
Q1,2600,293.15,101418.2,297.5995,1.2209,144.9467238,144.0611317,95.90838037,96.60550774,481.5217436,0,0,0,0,0,0,1,1,1,1,1,1,120,105,71,142,140,113,40,113,40
S1,2600.60825,295.9256113,101371.057,295.436231,1.2089,151.056847,153.180513,81.180295,76.488007,461.905662,2,0,0,2,0,0,0,1,1,0,1,1,122,51,53,122,120,113,39,113,40
S2,2600,293.15,100213.9,296.83933,1.2066,153.5526411,152.1420399,69.84447054,76.45516116,451.9943126,2,0,0,2,0,0,0,1,1,0,1,1,118,66,45,139,137,113,38,113,40
S3,2600,293.15,101105.3,297.2856667,1.2172,149.2554518,150.1179666,69.84639365,74.98590512,444.2057171,2,0,0,2,0,0,0,1,1,0,1,1,117,66,45,139,137,113,38,113,40
S4,2597.64605,295.6067688,102356.1438,294.425869,1.2218,150.480689,150.972237,99.792513,104.206563,505.452002,0,0,0,0,0,0,1,1,1,1,1,1,122,92,70,139,137,113,40,113,40
S5,2602.399025,294.7648292,102286.7009,294.434538,1.2245,155.530107,154.79612,69.293677,66.539951,446.159855,0,2,0,0,2,0,1,0,1,1,0,1,116,47,40,170,160,113,38,113,40
T1,2600,293.15,100112.6,297.1335,1.2054,150.2410456,148.0506233,92.89871322,98.5593875,489.7497697,0,0,0,0,0,0,1,1,1,1,1,1,122,105,71,139,137,113,40,113,40
T2,2600,293.15,101099,296.2788333,1.2171,148.2044722,148.7900591,75.96861433,73.67722877,446.6403744,2,0,0,2,0,0,0,1,1,0,1,1,118,64,52,133,130,113,38,113,40
